metric,nifty,sensex
executed_trades,63,61
mean_net_pnl_rupees,966.459287,2508.055607
mean_enhanced_net_pnl_rupees,936.448590,2478.653456
var95_loss_rupees,26289.432535,14139.649789
es95_loss_rupees,31753.753909,26807.297648
var99_loss_rupees,36219.474085,33043.570624
es99_loss_rupees,38992.428268,38352.768756
max_drawdown_rupees,61576.414198,66886.419630
max_concurrent_positions,2,2
conservative_research_capital_proxy_rupees,63507.507817,66886.419630
mean_pnl_over_es95,0.030436064,0.093558688
mean_pnl_over_conservative_capital_proxy,0.015218032,0.037497232
enhanced_mean_pnl_over_conservative_capital_proxy,0.014745478,0.037057649
trades_per_observed_year,35.455701,34.650467
simple_linear_annual_pnl_rupees,34266.491586,86905.296947
simple_linear_annual_return_on_conservative_capital_proxy,0.539565994,1.299296590
simple_linear_annual_enhanced_return_on_conservative_capital_proxy,0.522811277,1.284064825
mean_long_premium_cash_rupees,16497.511905,16512.619672
max_long_premium_cash_rupees,38964.250000,38905.000000
mean_short_premium_credit_rupees,19455.269841,21198.652459
mean_net_premium_cash_rupees,-2957.757937,-4686.032787
largest_net_entry_debit_rupees,937.500000,1607.000000
worst_overlapping_combined_pnl_rupees,18918.932095,-17076.027313
